nPeriods = 2 
H	LL	UL	D1	D2	P1	P2	I01	I02 POSx POSy
4	6	200	38	34	32	45	50	51	-30	-20
6	9	200	21	55	150	62	50	51	20	20
6	9	200	23	55	100	62	50	51	50	-10
4	6	200	10	34	32	45	50	51	-10	40
6	9	200	21	55	41	62	50	51	30	-12
6	9	200	21	55	41	62	50	51	-43	80
4	6	200	10	34	32	45	50	51	-20	47
6	9	200	21	55	41	62	50	51	12	21
6	9	200	21	55	41	62	50	51	250	10
4	6	200	38	34	32	45	50	51	-33	-22
6	9	200	21	55	150	62	50	51	20	30
6	9	200	23	55	100	62	50	51	-23	-20
4	6	200	10	34	32	45	50	51	14	40
6	9	200	21	55	41	62	50	51	32	12
6	9	200	21	55	41	62	50	51	-23	70
4	6	200	10	34	32	45	50	51	33	47
6	9	200	21	55	41	62	50	51	8	21
6	9	200	21	55	41	62	50	51	22	90
end-of-file
