nPeriods = 5
DEL	HC	LL	UL	Q1	Q2	Q3	Q4	Q5	I0	X	Y
1	2	5	89	33	45	21	49	21	15	39	-12
0	1	0	75	26	45	10	6	32	19	39	-12
1	1	5	96	20	36	35	16	44	36	46	-15
0	4	0	75	5	35	15	25	11	15	46	-15
1	3	5	77	44	26	41	27	23	53	-48	14
0	2	0	82	37	25	29	36	34	31	-48	14
1	2	5	84	22	16	9	46	46	28	-41	42
0	1	0	82	16	16	35	47	13	81	-41	42
1	4	5	90	9	7	23	12	16	34	-35	39
0	3	0	82	40	43	48	22	28	48	-35	39
1	3	5	97	33	42	29	31	40	71	-28	-32
0	2	0	82	26	33	9	33	7	15	-28	-32
1	1	5	78	12	33	42	42	18	14	-22	-3
0	1	0	82	5	24	23	7	30	65	-22	-3
1	4	5	85	44	23	48	8	42	49	-15	-6
0	3	0	89	29	14	28	18	9	23	-15	-6
1	2	5	91	22	13	16	28	20	89	-9	22
0	2	0	89	16	49	42	29	24	59	-9	22
1	1	5	98	46	49	22	39	36	10	-2	-49
0	4	0	88	40	40	47	48	47	63	-2	-49
1	3	5	79	33	31	36	5	14	9	4	48
0	3	0	88	18	30	16	14	26	17	4	48
1	2	5	86	12	21	41	24	38	84	11	-23
0	1	0	88	5	20	30	26	49	58	11	-23
end-of-file
