nPeriods = 5
DEL	HC	LL	UL	Q1	Q2	Q3	Q4	Q5	I0	X	Y
1	2	5	83	34	32	15	19	25	46	-17	39
0	1	0	78	27	31	40	20	37	46	-17	39
1	4	5	89	12	22	21	30	48	42	-11	-33
0	3	0	77	6	21	9	40	15	3	-11	-33
1	3	5	96	44	12	34	41	27	14	-4	-36
0	2	0	77	30	12	14	6	39	0	-4	-36
1	1	5	77	23	48	40	15	5	68	2	-7
0	4	0	77	16	47	28	17	17	41	2	-7
1	4	5	84	47	38	8	26	21	45	9	22
0	3	0	77	40	29	34	36	32	38	9	22
1	2	5	90	34	28	14	38	44	74	15	19
0	1	0	84	19	20	47	47	11	50	15	19
1	1	5	97	13	19	28	12	23	47	22	48
0	4	0	84	6	10	8	13	34	75	22	48
1	3	5	78	44	9	41	23	46	60	28	44
0	3	0	84	30	45	22	32	13	17	28	44
1	2	5	85	23	45	47	42	25	8	35	-27
0	1	0	84	17	36	27	44	28	42	35	-27
1	4	5	91	47	35	16	8	40	53	41	2
0	4	0	84	40	26	41	18	7	75	41	2
1	3	5	98	34	17	21	19	18	13	48	-1
0	2	0	84	19	16	46	29	30	17	48	-1
1	1	5	79	13	8	35	39	42	29	-46	28
0	1	0	90	6	7	15	40	9	72	-46	28
end-of-file
