nPeriods = 5
DEL	HC	LL	UL	Q1	Q2	Q3	Q4	Q5	I0	X	Y
1	3	5	86	47	9	41	40	17	29	36	7
0	2	0	88	33	45	21	49	21	1	36	7
1	1	5	92	26	45	10	6	32	59	42	36
0	1	0	88	20	36	35	16	44	43	42	36
1	4	5	99	5	35	15	25	11	14	49	-35
0	3	0	95	44	26	41	27	23	42	49	-35
1	2	5	80	37	25	29	36	34	67	-45	-38
0	2	0	95	22	16	9	46	46	71	-45	-38
1	1	5	87	16	16	35	47	13	30	-38	-9
0	4	0	94	9	7	23	12	16	51	-38	-9
1	3	5	93	40	43	48	22	28	91	-32	20
0	3	0	94	33	42	29	31	40	25	-32	20
1	2	5	75	26	33	9	33	7	21	-25	16
0	1	0	94	12	33	42	42	18	92	-25	16
1	1	5	82	5	24	23	7	30	20	-18	45
0	4	0	76	44	23	48	8	42	4	-18	45
1	3	5	88	29	14	28	18	9	8	-12	-26
0	2	0	76	22	13	16	28	20	13	-12	-26
1	2	5	95	16	49	42	29	24	16	-5	-29
0	1	0	76	46	49	22	39	36	11	-5	-29
1	4	5	76	40	40	47	48	47	60	1	0
0	3	0	76	33	31	36	5	14	8	1	0
1	3	5	83	18	30	16	14	26	21	8	28
0	2	0	76	12	21	41	24	38	5	8	28
end-of-file
